"","site","code","latitude","longitude","site_type"
"1","Borehamwood Meadow Park","BDMP",51.661229,-0.270671,"Urban Background"
"2","Brentford Roadside","BRN",51.489448,-0.310121,"Urban Traffic"
"3","Brighton Preston Park","BRT3",50.840836,-0.147572,"Urban Background"
"4","Brighton Roadside","BRIT",50.82354,-0.137281,"Urban Traffic"
"5","Bromley Roadside","BY1",51.4071,0.020128,"Urban Traffic"
"6","Cambridge","CAMB",51.995804,0.037756,"Urban Traffic"
"7","Cambridge Roadside","CAM",52.20237,0.124456,"Urban Traffic"
"8","Camden Kerbside","CA1",51.54421,-0.175269,"Urban Traffic"
"9","Central London","CLL",51.494722,-0.138333,"Urban Background"
"10","Ealing Horn Lane","EA8",51.51895,-0.265617,"Urban Traffic"
"11","Haringey Roadside","HG1",51.5993,-0.068218,"Urban Traffic"
"12","Horley","HORE",51.165865,-0.167734,"Suburban Industrial"
"13","Hounslow Roadside","HS1",51.48965,-0.308975,"Urban Traffic"
"14","Hove Roadside","HOVE",50.82778,-0.170294,"Urban Traffic"
"15","Hull Centre","HULL",53.74479,-0.338322,"Urban Background"
"16","Hull Freetown","HUL2",53.74878,-0.341222,"Urban Background"
"17","Hull Holderness Road","HULR",53.758971,-0.305749,"Urban Traffic"
"18","Immingham Woodlands Avenue","IMGM",53.619241,-0.213324,"Urban Background"
"19","London A3 Roadside","A3",51.37348,-0.291853,"Urban Traffic"
"20","London Bloomsbury","CLL2",51.52229,-0.125889,"Urban Background"
"21","London Brent","BREN",51.589769,-0.276223,"Urban Background"
"22","London Bridge Place","BRI",51.49521,-0.141655,"Urban Background"
"23","London Bromley","BY2",51.40555,0.018869,"Urban Traffic"
"24","London Cromwell Road","CRD",51.49492,-0.180564,"Urban Traffic"
"25","London Cromwell Road 2","CRD2",51.495483,-0.178709,"Urban Traffic"
"26","London Eltham","LON6",51.45258,0.070766,"Suburban Background"
"27","London Hackney","HK4",51.55877,-0.056592,"Urban Background"
"28","London Haringey","HG2",51.58603,-0.126486,"Urban Background"
"29","London Haringey Priory Park South","HG4",51.584128,-0.125254,"Urban Background"
"30","London Harlington","HRL",51.48879,-0.441614,"Urban Industrial"
"31","London Harrow","HARR",51.57389,-0.352051,"Suburban Background"
"32","London Harrow Stanmore","HR3",51.617333,-0.298777,"Urban Background"
"33","London Honor Oak Park","HP1",51.449674,-0.037418,"Urban Background"
"34","London Islington","ISL",51.531362,-0.096954,"Urban Background"
"35","London Lewisham","LW1",51.44541,-0.020139,"Urban Background"
"36","London Marylebone Road","MY1",51.52253,-0.154611,"Urban Traffic"
"37","London N. Kensington","KC1",51.52105,-0.213492,"Urban Background"
"38","London Southwark","SK1",51.49055,-0.096667,"Urban Background"
"39","London Sutton","SUT3",51.36789,-0.165489,"Suburban Background"
"40","London Teddington","TED",51.42099,-0.339647,"Urban Background"
"41","London Teddington Bushy Park","TED2",51.425286,-0.345606,"Urban Background"
"42","London UCL","LON5",51.52378,-0.128958,"Urban Background"
"43","London Wandsworth","WA2",51.45696,-0.191164,"Urban Background"
"44","London Westminster","HORS",51.49467,-0.131931,"Urban Background"
"45","Lullington Heath","LH",50.7937,0.18125,"Rural Background"
"46","Sandy Roadside","SDY",52.132417,-0.300306,"Urban Traffic"
"47","Southwark A2 Old Kent Road","SK5",51.480499,-0.05955,"Urban Traffic"
"48","Southwark Roadside","SK2",51.48199,-0.0623,"Urban Traffic"
"49","Stevenage","STE",51.886944,-0.200833,"Suburban Background"
"50","Storrington Roadside","STOR",50.916932,-0.449548,"Urban Traffic"
"51","Sutton Roadside","SUT1",51.36636,-0.182789,"Urban Traffic"
"52","Tower Hamlets Roadside","TH2",51.52253,-0.042155,"Urban Traffic"
"53","West London","WL",51.4938,-0.200361,"Urban Background"
"54","Worthing A27 Roadside","WTHG",50.832947,-0.379916,"Urban Traffic"
